"state","city","name","alternativeNames"
"AK","98791","98791 - AK",
"AK","Akhiok","Akhiok - AK",
"AK","Akiachak","Akiachak - AK",
"AK","Akiak","Akiak - AK",
"AK","Akutan","Akutan - AK",
"AK","Alakanuk","Alakanuk - AK",
"AK","Aleknagik","Aleknagik - AK",
"AK","Allakaket","Allakaket - AK",
"AK","Ambler","Ambler - AK",
"AK","Anaktuvuk Pass","Anaktuvuk Pass - AK",
"AK","Anchorage","Anchorage - AK",
"AK","Anderson","Anderson - AK",
"AK","Angoon","Angoon - AK",
"AK","Anvik","Anvik - AK",
"AK","Arctic Village","Arctic Village - AK",
"AK","Atmautluak","Atmautluak - AK",
"AK","Barrow","Barrow - AK",
"AK","Beaver","Beaver - AK",
"AK","Bettles Field","Bettles Field - AK",
"AK","Border","Border - AK",
"AK","Brevig Mission","Brevig Mission - AK",
"AK","Buckland","Buckland - AK",
"AK","Butte","Butte - AK",
"AK","Cantwell","Cantwell - AK",
"AK","Central","Central - AK",
"AK","Chalkyitsik","Chalkyitsik - AK",
"AK","Chefornak","Chefornak - AK",
"AK","Chenega Bay","Chenega Bay - AK",
"AK","Chevak","Chevak - AK",
"AK","Chignik Lagoon","Chignik Lagoon - AK",
"AK","Chignik","Chignik - AK",
"AK","Chuathbaluk","Chuathbaluk - AK",
"AK","Chugiak","Chugiak - AK",
"AK","Circle","Circle - AK",
"AK","Clam Gulch","Clam Gulch - AK",
"AK","Clarks Point","Clarks Point - AK",
"AK","Clear","Clear - AK",
"AK","Coldfoot","Coldfoot - AK",
"AK","Cooper Landing","Cooper Landing - AK",
"AK","Copper Center","Copper Center - AK",
"AK","Craig","Craig - AK",
"AK","Crooked Creek","Crooked Creek - AK",
"AK","Deering","Deering - AK",
"AK","Denali National","Denali National - AK",
"AK","Dot Lake","Dot Lake - AK",
"AK","Douglas","Douglas - AK",
"AK","Dutch Harbor","Dutch Harbor - AK",
"AK","Eagle River","Eagle River - AK",
"AK","Eek","Eek - AK",
"AK","Egegik","Egegik - AK",
"AK","Eielson Afb","Eielson Afb - AK",
"AK","Ekwok","Ekwok - AK",
"AK","Elim","Elim - AK",
"AK","Elmendorf Afb","Elmendorf Afb - AK",
"AK","Emmonak","Emmonak - AK",
"AK","Fairbanks","Fairbanks - AK",
"AK","False Pass","False Pass - AK",
"AK","Fort Richardson","Fort Richardson - AK",
"AK","Fort Wainwright","Fort Wainwright - AK",
"AK","Fort Yukon","Fort Yukon - AK",
"AK","Galena","Galena - AK",
"AK","Gambell","Gambell - AK",
"AK","Glennallen","Glennallen - AK",
"AK","Golovin","Golovin - AK",
"AK","Goodnews Bay","Goodnews Bay - AK",
"AK","Grayling","Grayling - AK",
"AK","Gustavus","Gustavus - AK",
"AK","Haines","Haines - AK",
"AK","Healy","Healy - AK",
"AK","Holy Cross","Holy Cross - AK",
"AK","Hoonah","Hoonah - AK",
"AK","Hooper Bay","Hooper Bay - AK",
"AK","Hughes","Hughes - AK",
"AK","Huslia","Huslia - AK",
"AK","Hydaburg","Hydaburg - AK",
"AK","Hyder","Hyder - AK",
"AK","Igiugig","Igiugig - AK",
"AK","Juneau","Juneau - AK",
"AK","Kaktovik","Kaktovik - AK",
"AK","Kalskag","Kalskag - AK",
"AK","Kaltag","Kaltag - AK",
"AK","Kasilof","Kasilof - AK",
"AK","Kenai","Kenai - AK",
"AK","Ketchikan","Ketchikan - AK",
"AK","Kiana","Kiana - AK",
"AK","King Cove","King Cove - AK",
"AK","Kipnuk","Kipnuk - AK",
"AK","Kivalina","Kivalina - AK",
"AK","Klawock","Klawock - AK",
"AK","Kobuk","Kobuk - AK",
"AK","Kokhanok","Kokhanok - AK",
"AK","Koliganek","Koliganek - AK",
"AK","Kotlik","Kotlik - AK",
"AK","Kotzebue","Kotzebue - AK",
"AK","Koyuk","Koyuk - AK",
"AK","Kwethluk","Kwethluk - AK",
"AK","Kwigillingok","Kwigillingok - AK",
"AK","Lake Minchumina","Lake Minchumina - AK",
"AK","Levelock","Levelock - AK",
"AK","Lower Kalskag","Lower Kalskag - AK",
"AK","Manley Hot Sprin","Manley Hot Sprin - AK",
"AK","Manokotak","Manokotak - AK",
"AK","Marshall","Marshall - AK",
"AK","Mc Grath","Mc Grath - AK",
"AK","Mekoryuk","Mekoryuk - AK",
"AK","Metlakatla","Metlakatla - AK",
"AK","Minto","Minto - AK",
"AK","Moose Pass","Moose Pass - AK",
"AK","Mountain Village","Mountain Village - AK",
"AK","Naknek","Naknek - AK",
"AK","Napakiak","Napakiak - AK",
"AK","Nelson Lagoon","Nelson Lagoon - AK",
"AK","Nenana","Nenana - AK",
"AK","New Stuyahok","New Stuyahok - AK",
"AK","Nikolaevsk","Nikolaevsk - AK",
"AK","Nikolai","Nikolai - AK",
"AK","Nikolski","Nikolski - AK",
"AK","Ninilchik","Ninilchik - AK",
"AK","Noatak","Noatak - AK",
"AK","Nondalton","Nondalton - AK",
"AK","Noorvik","Noorvik - AK",
"AK","North Pole","North Pole - AK",
"AK","Nuiqsut","Nuiqsut - AK",
"AK","Nulato","Nulato - AK",
"AK","Pedro Bay","Pedro Bay - AK",
"AK","Perryville","Perryville - AK",
"AK","Petersburg","Petersburg - AK",
"AK","Pilot Point","Pilot Point - AK",
"AK","Pilot Station","Pilot Station - AK",
"AK","Platinum","Platinum - AK",
"AK","Point Baker","Point Baker - AK",
"AK","Point Hope","Point Hope - AK",
"AK","Point Lay","Point Lay - AK",
"AK","Port Alsworth","Port Alsworth - AK",
"AK","Port Graham","Port Graham - AK",
"AK","Port Heiden","Port Heiden - AK",
"AK","Prudhoe Bay","Prudhoe Bay - AK",
"AK","Quinhagak","Quinhagak - AK",
"AK","Rampart","Rampart - AK",
"AK","Red Devil","Red Devil - AK",
"AK","Ruby","Ruby - AK",
"AK","Russian Mission","Russian Mission - AK",
"AK","Saint George Isl","Saint George Isl - AK",
"AK","Saint Marys","Saint Marys - AK",
"AK","Saint Michael","Saint Michael - AK",
"AK","Saint Paul Islan","Saint Paul Islan - AK",
"AK","Salcha","Salcha - AK",
"AK","Sand Point","Sand Point - AK",
"AK","Savoonga","Savoonga - AK",
"AK","Scammon Bay","Scammon Bay - AK",
"AK","Selawik","Selawik - AK",
"AK","Seward","Seward - AK",
"AK","Shageluk","Shageluk - AK",
"AK","Shaktoolik","Shaktoolik - AK",
"AK","Shishmaref","Shishmaref - AK",
"AK","Shungnak","Shungnak - AK",
"AK","Sitka","Sitka - AK",
"AK","Skagway","Skagway - AK",
"AK","Slana","Slana - AK",
"AK","Sleetmute","Sleetmute - AK",
"AK","Soldotna","Soldotna - AK",
"AK","South Naknek","South Naknek - AK",
"AK","Stebbins","Stebbins - AK",
"AK","Sterling","Sterling - AK",
"AK","Stevens Village","Stevens Village - AK",
"AK","Talkeetna","Talkeetna - AK",
"AK","Tanana","Tanana - AK",
"AK","Teller","Teller - AK",
"AK","Thorne Bay","Thorne Bay - AK",
"AK","Trapper Creek","Trapper Creek - AK",
"AK","Tuluksak","Tuluksak - AK",
"AK","Tununak","Tununak - AK",
"AK","Tyonek","Tyonek - AK",
"AK","Unalakleet","Unalakleet - AK",
"AK","Unalaska","Unalaska - AK",
"AK","Valdez","Valdez - AK",
"AK","Venetie","Venetie - AK",
"AK","Wainwright","Wainwright - AK",
"AK","Wales","Wales - AK",
"AK","Wasilla","Wasilla - AK",
"AK","White Mountain","White Mountain - AK",
"AK","Willow","Willow - AK",
"AK","Wrangell","Wrangell - AK",
"AK","Yakutat","Yakutat - AK",
"AL","Abbeville","Abbeville - AL",
"AL","Acmar","Acmar - AL",
"AL","Adamsville","Adamsville - AL",
"AL","Addison","Addison - AL",
"AL","Adger","Adger - AL",
"AL","Alberta","Alberta - AL",
"AL","Albertville","Albertville - AL",
"AL","Alden","Alden - AL",
"AL","Alexandria","Alexandria - AL",
"AL","Aliceville","Aliceville - AL",
"AL","Allen","Allen - AL",
"AL","Alpine","Alpine - AL",
"AL","Andalusia","Andalusia - AL",
"AL","Anderson","Anderson - AL",
"AL","Anniston","Anniston - AL",
"AL","Arab","Arab - AL",
"AL","Ardmore","Ardmore - AL",
"AL","Ariton","Ariton - AL",
"AL","Arley","Arley - AL",
"AL","Arlington","Arlington - AL",
"AL","Ashford","Ashford - AL",
"AL","Ashland","Ashland - AL",
"AL","Ashville","Ashville - AL",
"AL","Athens","Athens - AL",
"AL","Atmore","Atmore - AL",
"AL","Attalla","Attalla - AL",
"AL","Auburn","Auburn - AL",
"AL","Autaugaville","Autaugaville - AL",
"AL","Axis","Axis - AL",
"AL","Baileyton","Baileyton - AL",
"AL","Banks","Banks - AL",
"AL","Bankston","Bankston - AL",
"AL","Bay Minette","Bay Minette - AL",
"AL","Bayou La Batre","Bayou La Batre - AL",
"AL","Bear Creek","Bear Creek - AL",
"AL","Beatrice","Beatrice - AL",
"AL","Beaverton","Beaverton - AL",
"AL","Benton","Benton - AL",
"AL","Berry","Berry - AL",
"AL","Bessemer","Bessemer - AL",
"AL","Big Cove","Big Cove - AL",
"AL","Bigbee","Bigbee - AL",
"AL","Billingsley","Billingsley - AL",
"AL","Birmingham","Birmingham - AL",
"AL","Black","Black - AL",
"AL","Blountsville","Blountsville - AL",
"AL","Bluff Park","Bluff Park - AL",
"AL","Boaz","Boaz - AL",
"AL","Boligee","Boligee - AL",
"AL","Bon Secour","Bon Secour - AL",
"AL","Boys Ranch","Boys Ranch - AL",
"AL","Brantley","Brantley - AL",
"AL","Bremen","Bremen - AL",
"AL","Brent","Brent - AL",
"AL","Bridgeport","Bridgeport - AL",
"AL","Brierfield","Brierfield - AL",
"AL","Brilliant","Brilliant - AL",
"AL","Brookley Field","Brookley Field - AL",
"AL","Brookwood","Brookwood - AL",
"AL","Brownsboro","Brownsboro - AL",
"AL","Brundidge","Brundidge - AL",
"AL","Bryant","Bryant - AL",
"AL","Buhl","Buhl - AL",
"AL","Burkville","Burkville - AL",
"AL","Butler","Butler - AL",
"AL","Cahaba Heights","Cahaba Heights - AL",
"AL","Calera","Calera - AL",
"AL","Camden","Camden - AL",
"AL","Camp Hill","Camp Hill - AL",
"AL","Campbell","Campbell - AL",
"AL","Carbon Hill","Carbon Hill - AL",
"AL","Carlton","Carlton - AL",
